tag,n,metric,value,lower,upper,valid
VBG,358,precision,0.8798955613577023,0.8440002489846097,0.9107699037620297,True
IN,2371,precision,0.9714403973509934,0.9642692589796495,0.9779141104294479,True
NN,5855,precision,0.9549504118339217,0.9496673268165801,0.9601767921793023,True
",",917,precision,1.0,,,False
VBD,1019,precision,0.9685966633954858,0.9574040060925951,0.9786630414594383,True
THSC,104,precision,0.7573529411764706,0.6862605042016807,0.833363309352518,True
POS,102,precision,0.847457627118644,0.7818105423987778,0.9083349236641222,True
JJAT,1214,precision,0.9153976311336718,0.8987420592663313,0.9317415627292737,True
MDWO,104,precision,0.9807692307692307,0.9489619985925405,1.0,True
VB,953,precision,0.9279093717816684,0.9115846764309352,0.9432066792234135,True
TPP3P,236,precision,1.0,,,False
TO,422,precision,0.9785714285714285,0.9639820322685788,0.9907849919328476,True
QUAN,272,precision,0.9818181818181818,0.9640222604525076,0.9962413028840759,True
.,1488,precision,1.0,,,False
CC,1004,precision,0.995995995995996,0.9918183543102903,0.9990089197224975,True
DT,1704,precision,0.9994114184814596,0.9981781159754918,1.0,True
RB,705,precision,0.945985401459854,0.9287830719626013,0.9617133038782524,True
JJPR,452,precision,0.8620689655172413,0.8286224163138934,0.8905943925895751,True
WHSC,281,precision,0.9508771929824561,0.9227941176470589,0.9747315144274472,True
WHQU,46,precision,0.7608695652173914,0.636215415019763,0.8788181818181818,True
``,203,precision,1.0,,,False
'',182,precision,1.0,,,False
CD,557,precision,0.9749552772808586,0.9622910612003047,0.9869947833283587,True
:,258,precision,0.9961240310077519,0.9863597178683385,1.0,True
-LRB-,138,precision,0.9928057553956835,0.9761833046471601,1.0,True
-RRB-,137,precision,0.9927536231884058,0.9770948326482677,1.0,True
TIME,143,precision,0.952054794520548,0.9150326797385621,0.9849624060150376,True
PASS,214,precision,0.9351851851851852,0.9004411764705883,0.9659574468085106,True
RP,171,precision,0.958041958041958,0.9224682500412337,0.986310502283105,True
PIT,365,precision,1.0,,,False
DEMO,271,precision,0.9959016393442623,0.9868995633187773,1.0,True
CUZ,77,precision,1.0,,,False
QUPR,63,precision,1.0,,,False
VBN,115,precision,0.546448087431694,0.46808510638297873,0.6178379732340943,True
VPRT,1154,precision,0.9596491228070175,0.9475586122738022,0.9694666757950227,True
CONC,54,precision,0.9811320754716981,0.9375,1.0,True
FREQ,82,precision,1.0,,,False
XX0,274,precision,1.0,,,False
TPP3S,444,precision,1.0,,,False
PLACE,104,precision,0.9514563106796117,0.9108910891089109,0.9886487154150198,True
AMP,71,precision,0.971830985915493,0.9253731343283582,1.0,True
THRC,40,precision,0.8,0.6578536184210527,0.9310919540229884,True
EX,57,precision,0.95,0.8833088235294118,1.0,True
FPP1P,162,precision,0.9878048780487805,0.9662776886035314,1.0,True
PEAS,213,precision,0.983957219251337,0.9642857142857143,1.0,True
DMA,197,precision,0.9481865284974094,0.9132597604259095,0.978021978021978,True
SO,79,precision,0.9620253164556962,0.9146254355400697,1.0,True
HDG,69,precision,1.0,,,False
PROG,131,precision,0.9661016949152542,0.9312710811290609,0.9924826057681516,True
LIKE,99,precision,0.96875,0.9310344827586207,1.0,True
COND,73,precision,0.9864864864864865,0.953828125,1.0,True
MENTAL,427,precision,0.9748858447488584,0.9597156398104265,0.9886370078334364,True
ACT,629,precision,0.9555895865237366,0.9379489100642947,0.9699407828335926,True
OCCUR,57,precision,0.95,0.8938735177865613,1.0,True
BEMA,481,precision,0.9815573770491803,0.9688619903214204,0.9920795992642742,True
DOAUX,114,precision,0.956140350877193,0.9150741239892184,0.9906563689858082,True
NCOMP,559,precision,0.8827258320126783,0.856682769726248,0.9074383725633693,True
EXIST,95,precision,0.9791666666666666,0.9444444444444444,1.0,True
COMM,278,precision,0.9858156028368794,0.9702602230483272,0.99671079594478,True
CAUSE,52,precision,0.9811320754716981,0.9354663394109397,1.0,True
EMPH,210,precision,0.9807692307692307,0.9591836734693877,0.9957840351330406,True
SPLIT,147,precision,0.9865771812080537,0.9647058823529412,1.0,True
ASPECT,67,precision,0.9850746268656716,0.9491306253652835,1.0,True
VIMP,90,precision,0.7164179104477612,0.6110119047619049,0.8208955223880597,True
MDWS,86,precision,1.0,,,False
MDCA,65,precision,0.9848484848484849,0.9518023707734162,1.0,True
MDNE,72,precision,1.0,,,False
SPP2,300,precision,1.0,,,False
CONT,440,precision,0.995475113122172,0.9884779292541389,1.0,True
FPUH,159,precision,1.0,,,False
FPP1S,479,precision,0.9978947368421053,0.9933771171540761,1.0,True
YNQU,42,precision,0.8076923076923077,0.696969696969697,0.9019727403156385,True
THATD,58,precision,0.8055555555555556,0.7108354470513634,0.8889269406392694,True
MDCO,44,precision,1.0,,,False
HST,40,precision,1.0,,,False
VBG,358,recall,0.9413407821229051,0.915150711357608,0.9635854341736695,True
IN,2371,recall,0.9898776887389287,0.9857858541108592,0.9937369519832986,True
NN,5855,recall,0.9702818104184457,0.9658118472104066,0.9742784951063894,True
",",917,recall,1.0,,,False
VBD,1019,recall,0.9685966633954858,0.9571126234608793,0.9795543305322554,True
THSC,104,recall,0.9903846153846154,0.9696892393320965,1.0,True
POS,102,recall,0.9803921568627451,0.9504950495049505,1.0,True
JJAT,1214,recall,0.8912685337726524,0.8743498582145696,0.9081059205390526,True
MDWO,104,recall,0.9807692307692307,0.9489795918367347,1.0,True
VB,953,recall,0.9454354669464848,0.9305214644327862,0.9589494396830406,True
TPP3P,236,recall,1.0,,,False
TO,422,recall,0.9739336492890995,0.9582197753042081,0.9878345498783455,True
